Question,Answer,Name
"hic, haec, hoc","this, the latter; at times he, she, it, they","hic, haec, hoc"
"ille, illa, illud","that; the former; the famous; he, she, it they","ille, illa, illud"
"iste, ista, istud","that of yours; that; such (as you have/speak of","iste, ista, istud"
"is, ea, id","this, that; he, she, it","is, ea, id"
"īdem, eadem, idem","the same","īdem, eadem, idem"

"meus, mea, meum","my","meus, mea, meum"
"noster, nostra, nostrum","our, ours","noster, nostra, nostrum"
"tuus, tua, tuum","your (sg.)","tuus, tua, tuum"
"vester, vestra, vestrum","your (pl.)","vester, vestra, vestrum"
"suus, sua, suum","his own, her own, its own, their own","suus, sua, suum"
